batch,accuracy,f1,auc
344,0.96,0.9565217391304348,0.9551282051282051
345,0.96,0.9411764705882353,0.9930555555555556
346,0.96,0.9565217391304348,0.9807692307692308
347,1.0,1.0,1.0
348,0.88,0.8421052631578947,0.9466666666666668
349,0.96,0.96,1.0
350,1.0,1.0,1.0
351,1.0,1.0,1.0
352,1.0,1.0,1.0
353,1.0,1.0,1.0
354,1.0,1.0,1.0
355,0.96,0.967741935483871,0.9466666666666667
356,0.96,0.9565217391304348,0.9642857142857143
357,1.0,1.0,1.0
358,0.96,0.9523809523809523,1.0
359,0.96,0.9473684210526315,0.9652777777777778
360,0.96,0.9523809523809523,1.0
361,1.0,1.0,1.0
362,0.92,0.8888888888888888,0.9444444444444444
363,0.92,0.9,0.948051948051948
364,0.88,0.8421052631578947,0.9600000000000001
365,0.96,0.9523809523809523,1.0
366,0.8,0.8,0.8525641025641026
367,0.92,0.9285714285714286,0.974025974025974
368,1.0,1.0,1.0
369,0.96,0.9411764705882353,1.0
370,1.0,1.0,1.0
371,1.0,1.0,1.0
372,0.96,0.9230769230769231,0.9736842105263158
373,0.96,0.96,1.0
374,0.92,0.9090909090909091,0.961038961038961
375,0.92,0.9090909090909091,0.9448051948051948
376,1.0,1.0,1.0
377,1.0,1.0,1.0
378,0.96,0.9333333333333333,0.9722222222222222
379,1.0,1.0,1.0
380,1.0,1.0,1.0
381,0.92,0.9285714285714286,0.9805194805194806
382,0.96,0.9523809523809523,1.0
383,0.96,0.9565217391304348,0.9743589743589743
384,0.96,0.9565217391304348,1.0
385,0.92,0.9333333333333333,0.9400000000000001
386,1.0,1.0,1.0
387,0.96,0.9473684210526315,0.9933333333333334
388,1.0,1.0,1.0
389,0.96,0.9565217391304348,0.9743589743589743
390,0.96,0.9411764705882353,0.9930555555555556
391,1.0,1.0,1.0
392,1.0,1.0,1.0
393,1.0,1.0,1.0
394,0.96,0.96,0.9935897435897436
395,0.92,0.9166666666666666,0.9871794871794872
396,1.0,1.0,1.0
397,1.0,1.0,1.0
398,1.0,1.0,1.0
399,1.0,1.0,1.0
400,1.0,1.0,1.0
401,0.96,0.9090909090909091,0.9736842105263157
402,0.96,0.9565217391304348,1.0
403,0.96,0.9629629629629629,0.9675324675324675
404,0.92,0.875,0.9632352941176471
405,1.0,1.0,1.0
406,0.96,0.972972972972973,1.0
407,1.0,1.0,1.0
408,0.96,0.9473684210526315,0.9800000000000001
409,1.0,1.0,1.0
410,0.92,0.8888888888888888,0.9652777777777778
411,0.96,0.967741935483871,1.0
412,1.0,1.0,1.0
413,0.96,0.9523809523809523,0.9666666666666667
414,1.0,1.0,1.0
415,1.0,1.0,1.0
416,0.92,0.9090909090909091,0.9870129870129871
417,0.96,0.9565217391304348,0.9935897435897436
418,1.0,1.0,1.0
419,0.92,0.8888888888888888,0.9583333333333334
420,0.92,0.9,0.9805194805194806
421,0.88,0.8695652173913043,0.9512987012987013
422,1.0,1.0,1.0
423,0.96,0.9696969696969697,1.0
424,0.96,0.9473684210526315,1.0
425,0.96,0.9333333333333333,0.9682539682539683
426,1.0,1.0,1.0
427,1.0,1.0,1.0
428,0.88,0.9032258064516129,0.9852941176470589
429,0.96,0.96,1.0
430,1.0,1.0,1.0
431,0.92,0.9,0.9866666666666667
432,0.92,0.9285714285714286,0.9383116883116883
433,0.96,0.9565217391304348,0.961038961038961
434,0.92,0.9285714285714286,0.9866666666666667
435,0.96,0.9090909090909091,0.9912280701754387
436,0.96,0.9565217391304348,0.987012987012987
437,0.96,0.9473684210526315,0.96875
438,1.0,1.0,1.0
439,0.96,0.9655172413793104,0.987012987012987
440,0.96,0.96,0.9583333333333334
441,0.88,0.8421052631578947,0.9166666666666666
442,1.0,1.0,1.0
443,0.92,0.9,0.9805194805194806
444,1.0,1.0,1.0
445,0.96,0.967741935483871,0.9433333333333334
446,0.96,0.9629629629629629,1.0
447,1.0,1.0,1.0
448,0.96,0.96,0.9615384615384616
449,0.96,0.9565217391304348,0.9577922077922079
450,0.96,0.9411764705882353,1.0
451,0.88,0.9032258064516129,0.98
452,0.92,0.875,1.0
453,0.96,0.9473684210526315,0.9933333333333334
454,1.0,1.0,1.0
455,1.0,1.0,1.0
456,0.96,0.9565217391304348,0.9642857142857143
457,0.96,0.9629629629629629,0.9583333333333333
458,0.96,0.96,1.0
459,1.0,1.0,1.0
460,0.88,0.8571428571428571,0.9415584415584415
461,1.0,1.0,1.0
462,1.0,1.0,1.0
463,1.0,1.0,1.0
464,0.96,0.96,0.9615384615384616
465,1.0,1.0,1.0
466,1.0,1.0,1.0
467,0.96,0.9565217391304348,1.0
468,0.96,0.9411764705882353,1.0
469,0.88,0.8695652173913043,0.9090909090909092
470,1.0,1.0,1.0
471,0.96,0.9473684210526315,0.9933333333333334
472,0.84,0.8,0.9285714285714286
473,1.0,1.0,1.0
474,0.96,0.9629629629629629,0.9583333333333333
475,0.96,0.9411764705882353,0.9444444444444444
476,0.96,0.9090909090909091,1.0
477,1.0,1.0,1.0
478,1.0,1.0,1.0
479,1.0,1.0,1.0
480,0.96,0.9655172413793104,1.0
481,1.0,1.0,1.0
482,1.0,1.0,1.0
483,1.0,1.0,1.0
484,0.92,0.8888888888888888,1.0
485,0.96,0.96,0.9551282051282052
486,0.96,0.9523809523809523,0.9415584415584415
487,0.96,0.9333333333333333,1.0
488,1.0,1.0,1.0
489,0.92,0.8571428571428571,0.9705882352941176
490,0.92,0.9166666666666666,0.9423076923076923
491,0.96,0.9655172413793104,1.0
492,1.0,1.0,1.0
493,1.0,1.0,1.0
494,0.96,0.9629629629629629,1.0
495,1.0,1.0,1.0
496,1.0,1.0,1.0
497,0.92,0.875,0.9722222222222222
498,0.92,0.8888888888888888,0.9705882352941176
499,0.96,0.9411764705882353,0.9705882352941176
500,1.0,1.0,1.0
501,0.96,0.9523809523809523,0.9666666666666667
502,0.92,0.9285714285714286,0.9870129870129869
503,0.88,0.896551724137931,0.9805194805194806
504,0.92,0.9230769230769231,1.0
505,0.96,0.9696969696969697,0.9375
506,0.88,0.8421052631578947,0.9548611111111112
507,1.0,1.0,1.0
508,0.92,0.9230769230769231,0.9326923076923077
509,0.92,0.9230769230769231,0.9871794871794871
510,0.88,0.896551724137931,0.987012987012987
511,1.0,1.0,1.0
512,1.0,1.0,1.0
513,0.96,0.9565217391304348,1.0
514,1.0,1.0,1.0
515,0.96,0.9473684210526315,1.0
516,1.0,1.0,1.0
517,0.96,0.967741935483871,0.9400000000000001
518,0.96,0.9523809523809523,1.0
519,1.0,1.0,1.0
520,1.0,1.0,1.0
521,0.96,0.9629629629629629,0.9870129870129869
522,1.0,1.0,1.0
523,1.0,1.0,1.0
524,1.0,1.0,1.0
525,0.92,0.9230769230769231,0.9423076923076923
526,0.88,0.8695652173913043,0.9666666666666667
527,0.96,0.9411764705882353,0.9852941176470588
528,0.96,0.9565217391304348,0.9935897435897436
529,0.96,0.9411764705882353,1.0
530,1.0,1.0,1.0
531,0.96,0.96,0.9615384615384616
532,0.88,0.8695652173913043,0.9666666666666667
533,1.0,1.0,1.0
534,0.96,0.9523809523809523,1.0
535,0.92,0.8888888888888888,0.9791666666666666
536,0.96,0.9523809523809523,0.9870129870129871
537,0.96,0.9523809523809523,0.9675324675324675
538,1.0,1.0,1.0
539,0.96,0.9629629629629629,0.9935897435897436
540,1.0,1.0,1.0
541,0.96,0.9411764705882353,1.0
542,0.92,0.9,0.9930555555555556
543,0.92,0.9333333333333333,0.9930555555555555
544,1.0,1.0,1.0
545,1.0,1.0,1.0
